date,region,category,product,promotion,sales,units_sold,inventory
2026-01-01,North,Beverages,Energy Drink,Yes,70458.3,2576,1643
2026-01-01,North,Snacks,Namkeen,Yes,183383.9,5043,3956
2026-01-01,North,Dairy,Milk,Yes,72593.03,2064,717
2026-01-01,South,Beverages,Energy Drink,Yes,186280.76,5124,2305
2026-01-01,South,Snacks,Biscuits,No,50851.0,1189,1807
2026-01-01,South,Dairy,Cheese,No,94597.0,3338,2263
2026-01-01,East,Beverages,Juice,Yes,75456.03,2452,3317
2026-01-01,East,Snacks,Namkeen,No,55695.0,1329,4892
2026-01-01,East,Dairy,Milk,No,60328.0,1650,3462
2026-01-01,West,Beverages,Energy Drink,Yes,159554.23,4005,2870
2026-01-01,West,Snacks,Chips,Yes,76773.33,2284,3488
2026-01-01,West,Dairy,Milk,No,96566.0,3673,2687
2026-01-02,North,Beverages,Energy Drink,Yes,167557.67,4651,2505
2026-01-02,North,Snacks,Chips,No,99735.0,3549,2299
2026-01-02,North,Dairy,Cheese,No,57331.0,2133,762
2026-01-02,South,Beverages,Juice,No,85093.0,3870,3077
2026-01-02,South,Snacks,Chips,No,101856.0,2188,4258
2026-01-02,South,Dairy,Milk,No,68301.0,2492,4915
2026-01-02,East,Beverages,Juice,No,126484.0,3954,2296
2026-01-02,East,Snacks,Chips,No,61915.0,1450,1398
2026-01-02,East,Dairy,Milk,Yes,170739.59,7794,3626
2026-01-02,West,Beverages,Energy Drink,No,119352.0,4333,594
2026-01-02,West,Snacks,Namkeen,Yes,190277.68,4474,3286
2026-01-02,West,Dairy,Milk,No,106985.0,4323,526
2026-01-03,North,Beverages,Energy Drink,No,115612.0,2697,4658
2026-01-03,North,Snacks,Chips,No,133748.0,3796,2129
2026-01-03,North,Dairy,Milk,No,149943.0,6034,4844
2026-01-03,South,Beverages,Cola,No,114042.0,5540,3473
2026-01-03,South,Snacks,Biscuits,Yes,67512.88,1823,1145
2026-01-03,South,Dairy,Milk,No,59071.0,1197,4863
2026-01-03,East,Beverages,Cola,Yes,169580.51,4646,2671
2026-01-03,East,Snacks,Namkeen,No,77760.0,1624,2147
2026-01-03,East,Dairy,Cheese,No,102296.0,2051,3559
2026-01-03,West,Beverages,Juice,No,65860.0,2400,1024
2026-01-03,West,Snacks,Biscuits,Yes,160943.69,4274,558
2026-01-03,West,Dairy,Milk,Yes,89625.45,4279,3206
2026-01-04,North,Beverages,Cola,Yes,112509.97,4257,1583
2026-01-04,North,Snacks,Namkeen,No,81850.0,1879,3834
2026-01-04,North,Dairy,Milk,Yes,81370.66,2656,3867
2026-01-04,South,Beverages,Juice,Yes,179188.73,4549,996
2026-01-04,South,Snacks,Biscuits,No,64322.0,2342,2058
2026-01-04,South,Dairy,Cheese,No,68373.0,2093,2781
2026-01-04,East,Beverages,Juice,Yes,73828.4,1610,1302
2026-01-04,East,Snacks,Chips,Yes,85739.08,1885,1862
2026-01-04,East,Dairy,Yogurt,No,113092.0,4281,3785
2026-01-04,West,Beverages,Cola,Yes,109703.65,3459,4227
